feat_mode,spw,smote,depth,lr,mcw,sub,col,alpha,lambda,gamma,best_th,val_f1,test_f1,test_prec,test_rec,test_pr_auc,test_roc_auc,tp,fp,fn,tn
log_amt_hour,577.6539682539683,,6,0.1,1,0.7,0.9,0.1,5.0,0.2,0.8600000000000001,0.8551724137931035,0.8804347826086957,0.9418604651162791,0.826530612244898,0.8781877373570219,0.9746245607134245,81,5,17,56859
raw,115.53079365079367,,5,0.1,1,1.0,0.8,0.0,1.0,0.0,0.7800000000000001,0.8611111111111112,0.8804347826086957,0.9418604651162791,0.826530612244898,0.8759475731788691,0.9799527049142673,81,5,17,56859
engineered,24.034432971342767,smote_0.2,7,0.15,1,0.9,0.7,0.5,5.0,0.0,0.9200000000000002,0.863013698630137,0.8804347826086957,0.9418604651162791,0.826530612244898,0.8749222039598991,0.9817156832485385,81,5,17,56859
raw,24.034432971342767,smote_0.2,7,0.15,1,0.9,0.7,0.5,5.0,0.0,0.9200000000000002,0.8413793103448276,0.8804347826086957,0.9418604651162791,0.826530612244898,0.8743518617317778,0.9884690862839226,81,5,17,56859
log_amt_hour,1.0,smote_0.2,5,0.15,1,0.9,1.0,0.0,1.0,0.1,0.8400000000000001,0.8551724137931035,0.8756756756756757,0.9310344827586207,0.826530612244898,0.8662726636162319,0.9845734685264089,81,6,17,56858
raw,577.6539682539683,,6,0.1,1,0.7,0.9,0.1,5.0,0.2,0.9200000000000002,0.8472222222222222,0.8743169398907104,0.9411764705882353,0.8163265306122449,0.8787941751501248,0.9803607676891803,80,5,18,56859
raw,1.0,smote_0.2,5,0.15,1,1.0,0.8,0.1,2.0,0.0,0.8400000000000001,0.8551724137931035,0.8743169398907104,0.9411764705882353,0.8163265306122449,0.8676125468862672,0.9828714124929656,80,5,18,56859
log_amt_hour,1.0,smote_0.2,5,0.15,1,1.0,0.8,0.1,2.0,0.0,0.8800000000000001,0.8611111111111112,0.8729281767955801,0.9518072289156626,0.8061224489795918,0.8655308743732035,0.9877242012449324,79,4,19,56860
engineered,1.0,smote_0.2,5,0.15,1,0.9,1.0,0.0,1.0,0.1,0.8600000000000001,0.8531468531468531,0.8729281767955801,0.9518072289156626,0.8061224489795918,0.8547106425850678,0.9790551103671632,79,4,19,56860
log_amt_hour,115.53079365079367,,5,0.1,1,1.0,0.8,0.0,1.0,0.0,0.6400000000000001,0.8611111111111112,0.8723404255319149,0.9111111111111111,0.8367346938775511,0.8698532284435038,0.9792736769721958,82,8,16,56856
engineered,24.034432971342767,,5,0.03,3,1.0,0.7,0.0,5.0,0.2,0.8000000000000002,0.8450704225352113,0.8695652173913043,0.9302325581395349,0.8163265306122449,0.8714268900425868,0.9765909423701953,80,6,18,56858
log_amt_hour,1.0,smote_0.1,5,0.15,3,0.9,0.7,1.0,1.0,0.0,0.8000000000000002,0.8493150684931506,0.8681318681318682,0.9404761904761905,0.8061224489795918,0.8679216663281957,0.9836231165229175,79,5,19,56859
raw,577.6539682539683,smote_0.1,7,0.1,1,0.8,0.7,0.0,5.0,0.1,0.9400000000000002,0.8456375838926175,0.8677248677248677,0.9010989010989011,0.8367346938775511,0.8764528936731388,0.9807442462072054,82,9,16,56855
log_amt_hour,288.82698412698414,smote_0.2,6,0.15,1,0.7,1.0,0.5,2.0,0.0,0.9400000000000002,0.8378378378378378,0.8677248677248677,0.9010989010989011,0.8367346938775511,0.8655173716010794,0.9813588526294029,82,9,16,56855
log_amt_hour,24.034432971342767,smote_0.2,7,0.15,1,0.9,0.7,0.5,5.0,0.0,0.9200000000000002,0.8413793103448276,0.8663101604278075,0.9101123595505618,0.826530612244898,0.8750823445041223,0.9877740875472305,81,8,17,56856
engineered,10.0,,4,0.15,3,0.8,0.7,1.0,1.0,0.0,0.56,0.8689655172413793,0.8648648648648649,0.9195402298850575,0.8163265306122449,0.8716095498246476,0.9754322522481137,80,7,18,56857
engineered,577.6539682539683,,6,0.1,1,0.7,0.9,0.1,5.0,0.2,0.8600000000000001,0.863013698630137,0.8633879781420765,0.9294117647058824,0.8061224489795918,0.878484719329495,0.9816752179205954,79,6,19,56858
